"","x"
"886","Fam102b"
"887","Fam105a"
"888","Fam107b"
"889","Fam110a"
"890","Fam117a"
"891","Fam117b"
"892","Fam118a"
"893","Fam122b"
"894","Fam124b"
"895","Fam126b"
"896","Fam129a"
"897","Fam155a"
"898","Fam160a2"
"899","Fam160b2"
"900","Fam167a"
"901","Fam184b"
"902","Fam189a1"
"903","Fam189b"
"904","Fam192a"
"905","Fam193a"
"906","Fam193b"
"907","Fam196a"
"908","Fam196b"
"909","Fam198a"
"910","Fam199x"
"911","Fam19a1"
"912","Fam19a2"
"913","Fam19a3"
"914","Fam19a5"
"915","Fam20b"
"916","Fam20c"
"917","Fam210b"
"918","Fam212b"
"919","Fam214b"
"920","Fam221b"
"921","Fam26d"
"922","Fam26e"
"923","Fam35a"
"924","Fam43a"
"925","Fam53a"
"926","Fam53c"
"927","Fam69a"
"928","Fam71b"
"929","Fam71f1"
"930","Fam76a"
"931","Fam78b"
"932","Fam83e"
"933","Fam83g"
"934","Fam84a"
"935","Fan1"
"936","Fancc"
"937","Fancd2"
"938","Fancm"
"939","Farp2"
"940","Fastkd1"
"941","Fastkd2"
"942","Fastkd3"
"943","Fbf1"
"944","Fblim1"
"945","Fbln2"
"946","Fbln5"
"947","Fbn2"
"948","Fbxl12"
"949","Fbxl18"
"950","Fbxl19"
"951","Fbxl20"
"952","Fbxl4"
"953","Fbxl5"
"954","Fbxo10"
"955","Fbxo21"
"956","Fbxo24"
"957","Fbxo28"
"958","Fbxo32"
"959","Fbxo4"
"960","Fbxo41"
"961","Fbxo7"
"962","Fbxo8"
"963","Fbxw17"
"964","Fbxw4"
"965","Fcgbp"
"966","Fcgr1"
"967","Fcgrt"
"968","Fcho2"
"969","Fech"
"970","Fem1a"
"971","Fermt3"
"972","Ffar2"
"973","Fgd2"
"974","Fgd3"
"975","Fgf1"
"976","Fgf10"
"977","Fgf15"
"978","Fgfr1op"
"979","Fgfr3"
"980","Fgfrl1"
"981","Fhl1"
"982","Fhod3"
"983","Fig4"
"984","Fign"
"985","Fignl2"
"986","Filip1"
"987","Filip1l"
"988","Fip1l1"
"989","Fkbp14"
"990","Fkbp8"
"991","Fli1"
"992","Flna"
"993","Flnc"
"994","Flot1"
"995","Flt1"
"996","Flt3"
"997","Fmn1"
"998","Fmo5"
"999","Fmr1"
"1000","Fn3krp"
"1001","Fnbp4"
"1002","Fndc9"
"1003","Fntb"
"1004","Fosb"
"1005","Fosl1"
"1006","Foxa2"
"1007","Foxh1"
"1008","Foxj2"
"1009","Foxk1"
"1010","Foxn3"
"1011","Foxo3"
"1012","Foxo4"
"1013","Foxred1"
"1014","Frat2"
"1015","Frem3"
"1016","Frk"
"1017","Frmd4a"
"1018","Frmd4b"
"1019","Frmd7"
"1020","Frs2"
"1021","Fscb"
"1022","Fscn2"
"1023","Fsd2"
"1024","Fstl1"
"1025","Fubp3"
"1026","Fuca1"
"1027","Fuom"
"1028","Fut1"
"1029","Fut11"
"1030","Fzd10"
"1031","Fzd8"
"1032","G2e3"
"1033","G630093k05rik"
"1034","Gab3"
"1035","Gabbr2"
"1036","Gabra3"
"1037","Gabra4"
"1038","Gabrd"
"1039","Gabrr1"
"1040","Gabrr2"
"1041","Gad2"
"1042","Galc"
"1043","Galk2"
"1044","Galm"
"1045","Galnt10"
"1046","Galnt13"
"1047","Galnt16"
"1048","Galnt9"
"1049","Gan"
"1050","Ganc"
"1051","Gata6"
"1052","Gatad2a"
"1053","Gatm"
"1054","Gba"
"1055","Gbgt1"
"1056","Gca"
"1057","Gcgr"
"1058","Gckr"
"1059","Gclc"
"1060","Gcm2"
"1061","Gcnt1"
"1062","Gdf11"
"1063","Gdf5"
"1064","Gdf6"
