,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
4279,0.5009561116895891,4,Zic1,137.5662945790639,0.9931167572348671,-8.786347923037425,-1.2264650785390252,0.697797614250561,SE,98,2.2332745612158984,41.831209508721585,0.0013213157653808594,35.91256576075714,-9.140229528129481,0.3538816050920559,0.551924029384407,0.9595801761992182
3871,0.7800374773363387,4,Gpr37,137.5662945790639,0.28112176496876146,-22.178504815165475,-2.0368621873033566,2.7494107390135683,SE,98,38.980394028397306,1349.361327696563,0.0019381046295166016,62.69687954501324,-22.532273855879737,0.35376904071426196,0.5519872828600703,0.9595801761992182
8297,0.051448730845243026,4,Rbak,791.3180511624732,15.217016524439828,-11.819979871609576,-1.2825603200411164,0.05534936079893452,SE,98,0.019270736419189315,6.4962852011190035,0.0035555362701416016,41.97982965790144,-12.173746228655489,0.3537663570459131,0.5519887910642562,0.9595801761992182
9800,0.015182823878681133,4,Reps2,2540.4486927750327,25.869262015940322,-12.557447143988838,-2.2037210579384996,0.061409167385545985,SE,98,0.002492992596428988,8.338219041731653,0.0022628307342529297,43.454764202659966,-12.911050007968768,0.3536028639799298,0.5520806877161353,0.9595801761992182
8615,0.03625900423125947,4,Rhbdf2,791.3180511624732,21.937535121151143,-2.8966867284671025,0.3242983173248448,0.005400432615301695,SE,98,0.008988862596143185,5.742288960866815,0.0032389163970947266,24.133243371616494,-3.250147270712233,0.3534605422451307,0.552160707740788,0.9595801761992182
3960,0.5052220110438683,4,Lrch2,137.5662945790639,0.9763136379524222,5.96004555448004,-1.5165648723390674,1.046839092010855,SE,98,3.465096153105195,64.9150821956559,0.0012898445129394531,6.41977880572221,5.60691963778109,0.35312591669895,0.5523489360178936,0.9595801761992182
116,0.9999545948948106,4,Bcat1,76.77721626664899,4.5399929762484854e-05,-5.037996285834424,-1.118415427572125,1.2978491826640046,SE,98,10.790657296120237,3790498704.158828,0.0017437934875488281,28.415862486351138,-5.3910573085440205,0.3530610227095963,0.552385453129941,0.9595801761992182
1996,0.9999545948948108,4,Klhl25,76.77721626664899,4.5399929762484854e-05,-12.087826275895736,-2.9557126545129444,8.6860076483092,SE,98,10.493938804691592,3686268625.6385293,0.0016040802001953125,42.51552246647376,-12.440464341384867,0.35263806548913124,0.5526235707037157,0.9595801761992182
1531,0.9999545948948106,4,Dhx40,76.77721626664899,4.5399929762484854e-05,1.731672112135584,-1.1698805686416363,1.4055515916849992,SE,98,11.467861922656683,4028384422.220623,0.0016713142395019531,14.876525690411121,1.3792565568920168,0.35241555524356727,0.5527489176579793,0.9595801761992182
3436,0.9999545948948108,4,Ccr10,76.77721626664899,4.5399929762484854e-05,15.346688973826218,-2.4010113748044177,5.725067592842891,SE,98,11.380092258321344,3997553047.4760346,0.0016529560089111328,-12.353508032970147,14.994338327868434,0.35235064595778454,0.5527854931639373,0.9595801761992182
8483,0.03824572874210172,4,Gpnmb,791.3180511624732,20.755086701998245,-4.127650219467739,-1.4241643860945838,0.05613988007704171,SE,98,0.00878681936220889,5.085573439341844,0.0036110877990722656,26.595170353617767,-4.479185423827317,0.3515352043595783,0.5532453720453507,0.9595801761992182
7094,0.07193670908792245,4,Dennd4a,441.6430444369237,12.036182620652601,-1.7863137587158633,-2.653836724244775,0.3696546411431098,SE,98,0.01824762384631711,3.4098209358731406,0.0045053958892822266,21.912497432114016,-2.1376792784751046,0.35136551975924135,0.5533411584838469,0.9595801761992182
5896,0.14202135107672192,4,Ndufs1,246.48569360067208,5.9269179805880725,1.2216903834567745,-1.937592399942614,0.4400941094546626,SE,98,0.04340663141403745,2.7141439524296436,0.0038022994995117188,15.89648914776874,0.8705009237077377,0.3511894597490368,0.5534405768667572,0.9595801761992182
5024,0.484898600793664,4,Tmem87b,137.5662945790639,1.0590172805257565,19.71932498397757,-1.081491236864919,0.5195527151368984,SE,98,1.0688432805605017,20.049027494789,0.0015254020690917969,-21.098780053272854,19.368144371018815,0.3511806129587569,0.5534455734017676,0.9595801761992182
1983,0.9999545948948108,4,Slc37a1,76.77721626664899,4.5399929762484854e-05,-10.333899008544535,-3.436358221370051,11.711663337020354,SE,98,14.182682141160566,4982035551.882731,0.002934694290161133,39.00766793177136,-10.685038157817246,0.3511391492727114,0.553468992605653,0.9595801761992182
